first_name,last_name,born,Pos,birth_city,birth_state
HOWIE,SHANNON,1923,G-F,Manhattan,Kansas
CONNIE,SIMMONS,1925,C-F,Newark,New Jersey
BELUS,SMAWLEY,1918,SG,Golden Valley,North Carolina
JACK,SMILEY,1922,F-G,Sandwich,Illinois
JACK,SMILEY,1922,F-G,Sandwich,Illinois
JACK,SMILEY,1922,F-G,Sandwich,Illinois
ART,SPECTOR,1920,F,Philadelphia,Pennsylvania
JACK,TOOMAY,1922,C-F,Ontario,California
BOB,TOUGH,1920,G-F,New York,New York
BOB,TOUGH,1920,G-F,New York,New York
BOB,TOUGH,1920,G-F,New York,New York
BLACKIE,TOWERY,1920,F-C,Caldwell,Kentucky
DICK,TRIPTOW,1922,G-F,Chicago,Illinois
ERNIE,VANDEWEGHE,1928,F-G,Montreal,Canada
FLOYD,VOLKER,1921,F-C,Casper,Wyoming
FLOYD,VOLKER,1921,F-C,Casper,Wyoming
FLOYD,VOLKER,1921,F-C,Casper,Wyoming
CLINT,WAGER,1920,C-F,Winona,Minnesota
BRADY,WALKER,1921,PF,Provo,Utah
PAUL,WALTHER,1927,SG,Covington,Kentucky
PAUL,WALTHER,1927,SG,Covington,Kentucky
PAUL,WALTHER,1927,SG,Covington,Kentucky
BOBBY,WANZER*,1921,G,Brooklyn,New York
MURRAY,WIER,1926,G,Grand View,Iowa
MAX,ZASLOFSKY,1925,SG,Brooklyn,New York
PAUL,ARIZIN*,1928,SF,Philadelphia,Pennsylvania
CLIFF,BARKER,1921,SG,Yorktown,Indiana
RALPH,BEARD,1927,G,Hardinsburg,Kentucky
NELSON,BOBB,1924,PG,Philadelphia,Pennsylvania
IKE,BORSAVAGE,1924,C-F,Plymouth,Pennsylvania
VINCE,BORYLA,1927,SF,East Chicago,Indiana
HARRY,BOYKOFF,1922,C,Brooklyn,New York
HARRY,BOYKOFF,1922,C,Brooklyn,New York
HARRY,BOYKOFF,1922,C,Brooklyn,New York
FRANKIE,BRIAN,1923,G,Zachary,Louisiana
WALT,BUDKO,1925,PF,Kearney,New Jersey
TOMMY,BYRNES,1923,F-G,Teaneck,New Jersey
TOMMY,BYRNES,1923,F-G,Teaneck,New Jersey
TOMMY,BYRNES,1923,F-G,Teaneck,New Jersey
TOMMY,BYRNES,1923,F-G,Teaneck,New Jersey
GERRY,CALABRESE,1925,SG,Hoboken,New Jersey
BILL,CALHOUN,1927,SG,San Francisco,California
DON,CARLSON,1919,G-F,Minneapolis,Minnesota
AL,CERVI*,1917,PG,Buffalo,New York
LEROY,CHOLLET,1925,F,New Orleans,Louisiana
NAT,CLIFTON*,1922,PF,Little Rock,Arkansas
BILL,CLOSS,1922,SF,Edge,Texas
JACK,COLEMAN,1924,PF,Burgin,Kentucky
BOB,COUSY*,1928,PG,New York,New York
BOB,DAVIES*,1920,PG,Harrisburg,Pennsylvania
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
RAY,ELLEFSON,1922,C,Brookings,South Dakota
ARNIE,FERRIN,1925,F-G,Salt Lake City,Utah
LARRY,FOUST,1928,C,Painesville,Ohio
JOE,FULKS*,1921,PF,Birmingham,Kentucky
HARRY,GALLATIN*,1927,F-C,Roxana,Illinois
VERN,GARDNER,1925,SG,Afton,Wyoming
BUD,GRANT,1927,F,Superior,Wisconsin
ALEX,GROZA,1926,C,Martins Ferry,Ohio
CHICK,HALBERT,1919,C,Albany,Texas
BRUCE,HALE,1918,G-F,Medford,Oregon
ALEX,HANNUM*,1923,PF,Los Angeles,California
JOHN,HARGIS,1920,G-F,Nacogdoches,Texas
JOHN,HARGIS,1920,G-F,Nacogdoches,Texas
JOHN,HARGIS,1920,G-F,Nacogdoches,Texas
BOB,HARRIS,1927,F-C,Linden,Tennessee
BOB,HARRIS,1927,F-C,Linden,Tennessee
BOB,HARRIS,1927,F-C,Linden,Tennessee
BOB,HARRISON,1927,G,Linden,Tennessee
KLEGGIE,HERMSEN,1923,C-F,Hill City,Minnesota
SONNY,HERTZBERG,1922,G,Brooklyn,New York
RED,HOLZMAN*,1920,PG,Brooklyn,New York
GENE,JAMES,1925,F,Ironton,Ohio
GENE,JAMES,1925,F,Ironton,Ohio
GENE,JAMES,1925,F,Ironton,Ohio
TONY,JAROS,1920,F-G,Minneapolis,Minnesota
ARNIE,JOHNSON,1920,SF,Gonvick,Minnesota
GEORGE,KAFTAN,1928,SF,New York,New York
DUANE,KLUEH,1926,G,Bottineau,North Dakota
TONY,LAVELLI,1926,F,Somerville,Massachusetts
DON,LOFGRAN,1928,F-C,Oakland,California
JOHN,LOGAN,1921,G,Richmond,Indiana
RAY,LUMPP,1923,G,Brooklyn,New York
ED,MACAULEY*,1928,C-F,St. Louis,Missouri
JOHN,MAHNKEN,1922,C,New Jersey,New Jersey
JOHN,MAHNKEN,1922,C,New Jersey,New Jersey
JOHN,MAHNKEN,1922,C,New Jersey,New Jersey
SLATER,MARTIN*,1925,PG,El Mina,Texas
ARIEL,MAUGHAN,1923,F,Salt Lake City,Utah
DICK,MCGUIRE*,1926,PG,Huntington,New York
BONES,MCKINNEY,1919,SF,Lowlands,North Carolina
BONES,MCKINNEY,1919,SF,Lowlands,North Carolina
BONES,MCKINNEY,1919,SF,Lowlands,North Carolina
GEORGE,MIKAN*,1924,C,Joliet,Illinois
VERN,MIKKELSEN*,1928,PF,Fresno,California
LEO,MOGUS,1921,F-C,Ohio,Unknown
PAUL,NOEL,1924,F,Midway,Kentucky
JOHNNY,NORLANDER,1921,F,Virginia,Minnesota
DICK,O'KEEFE,1923,G-F,San Francisco,California
TOMMY,O'KEEFE,1928,G,Jersey City,New Jersey
TOMMY,O'KEEFE,1928,G,Jersey City,New Jersey
TOMMY,O'KEEFE,1928,G,Jersey City,New Jersey
KEVIN,O'SHEA,1925,G,San Francisco,California
JOHN,OLDHAM,1923,G,Beaver Dam,Kentucky
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
EASY,PARHAM,1921,F-G,Fort Worth,Texas
WARREN,PERKINS,1922,G-F,New Orleans,Louisiana
ANDY,PHILLIP*,1922,G-F,Granite City,Illinois
JIM,POLLARD*,1922,SF,Oakland,California
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
DON,REHFELDT,1927,SF,Chicago,Illinois
ARNIE,RISEN*,1924,C,Williamstown,Kentucky
TEX,RITTER,1924,G-F,Richmond,Kentucky
RED,ROCHA,1923,C,Hilo,Hawaii
KENNY,SAILORS,1921,G,Bushnell,Nebraska
KENNY,SAILORS,1921,G,Bushnell,Nebraska
KENNY,SAILORS,1921,G,Bushnell,Nebraska
ALAN,SAWYER,1928,F,Long Beach,California
FRED,SCHAUS,1925,F,Newark,Ohio
DOLPH,SCHAYES*,1928,F-C,New York,New York
DICK,SCHNITTKER,1928,SF,Kelleys Island,Ohio
FRED,SCOLARI,1922,G,San Francisco,California
GEORGE,SENESKY,1922,PG,Mahanoy City,Pennsylvania
PAUL,SEYMOUR,1928,G-F,Toledo,Ohio
CARL,SHAEFFER,1924,F-G,Delphi,Indiana
BILL,SHARMAN*,1926,SG,Abilene,Texas
CONNIE,SIMMONS,1925,C-F,Newark,New Jersey
BELUS,SMAWLEY,1918,SG,Golden Valley,North Carolina
BELUS,SMAWLEY,1918,SG,Golden Valley,North Carolina
BELUS,SMAWLEY,1918,SG,Golden Valley,North Carolina
ERNIE,VANDEWEGHE,1928,F-G,Montreal,Canada
BRADY,WALKER,1921,PF,Provo,Utah
BRADY,WALKER,1921,PF,Provo,Utah
BRADY,WALKER,1921,PF,Provo,Utah
PAUL,WALTHER,1927,SG,Covington,Kentucky
BOBBY,WANZER*,1921,G,Brooklyn,New York
MAX,ZASLOFSKY,1925,SG,Brooklyn,New York
PAUL,ARIZIN*,1928,SF,Philadelphia,Pennsylvania
CLIFF,BARKER,1921,SG,Yorktown,Indiana
DON,BARKSDALE*,1923,PF,Oakland,California
ELMER,BEHNKE,1929,C,Rockford,Illinois
CHARLIE,BLACK,1921,F-C,Arco,Idaho
NELSON,BOBB,1924,PG,Philadelphia,Pennsylvania
VINCE,BORYLA,1927,SF,East Chicago,Indiana
DON,BOVEN,1925,SG,Kalamazoo,Michigan
FRANKIE,BRIAN,1923,SG,Zachary,Louisiana
WALT,BUDKO,1925,PF,Kearney,New Jersey
GERRY,CALABRESE,1925,SG,Hoboken,New Jersey
BILL,CALHOUN,1927,SG,San Francisco,California
AL,CERVI*,1917,PG,Buffalo,New York
NAT,CLIFTON*,1922,PF,Little Rock,Arkansas
BILL,CLOSS,1922,SF,Edge,Texas
JACK,COLEMAN,1924,PF,Burgin,Kentucky
BOB,COUSY*,1928,PG,New York,New York
DILLARD,CROCKER,1925,PF,Coffee County,Tennessee
DILLARD,CROCKER,1925,PF,Coffee County,Tennessee
DILLARD,CROCKER,1925,PF,Coffee County,Tennessee
BOB,DAVIES*,1920,PG,Harrisburg,Pennsylvania
DICK,DICKEY,1926,PG,Grant County,Indiana
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
LARRY,FOUST,1928,C,Painesville,Ohio
JOE,FULKS*,1921,PF,Birmingham,Kentucky
HARRY,GALLATIN*,1927,PF,Roxana,Illinois
VERN,GARDNER,1925,SG,Afton,Wyoming
ALEX,HANNUM*,1923,F-C,Los Angeles,California
BOB,HARRIS,1927,PF,Linden,Tennessee
BOB,HARRISON,1927,SG,Linden,Tennessee
LEW,HITCH,1929,PF,Griggsville,Illinois
RED,HOLZMAN*,1920,PG,Brooklyn,New York
MEL,HUTCHINS,1928,C,Sacramento,California
ARNIE,JOHNSON,1920,SF,Gonvick,Minnesota
NEIL,JOHNSTON*,1929,C,Chillicothe,Ohio
GEORGE,KAFTAN,1928,SF,New York,New York
GEORGE,KING,1928,PG,Charleston,West Virginia
WALT,KIRK,1924,PG,Mount Vernon,Illinois
DON,LOFGRAN,1928,SF,Oakland,California
RAY,LUMPP,1923,SG,Brooklyn,New York
ED,MACAULEY*,1928,C,St. Louis,Missouri
JOHN,MAHNKEN,1922,C,New Jersey,New Jersey
SLATER,MARTIN*,1925,PG,El Mina,Texas
JOHN,MCCONATHY,1930,F,Sailes,Louisiana
ALFRED,MCGUIRE*,1928,PG,New York,New York
DICK,MCGUIRE*,1926,PG,Huntington,New York
BONES,MCKINNEY,1919,SF,Lowlands,North Carolina
GEORGE,MIKAN*,1924,C,Joliet,Illinois
VERN,MIKKELSEN*,1928,PF,Fresno,California
DAVE,MINOR,1922,SG,Missouri,Unknown
PAUL,NOEL,1924,F,Midway,Kentucky
RALPH,O'BRIEN,1928,SG,Henshaw,Kentucky
KEVIN,O'SHEA,1925,PG,San Francisco,California
KEVIN,O'SHEA,1925,G,San Francisco,California
KEVIN,O'SHEA,1925,PG,San Francisco,California
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
DON,OTTEN,1921,C,Bellefontaine,Ohio
ANDY,PHILLIP*,1922,SG,Granite City,Illinois
JOHN,PILCH,1925,F,Sheridan,Wyoming
JIM,POLLARD*,1922,SF,Oakland,California
SAM,RANZINO,1927,SG,Gary,Indiana
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
DON,REHFELDT,1927,SF,Chicago,Illinois
DON,REHFELDT,1927,SF,Chicago,Illinois
DON,REHFELDT,1927,SF,Chicago,Illinois
ARNIE,RISEN*,1924,C,Williamstown,Kentucky
RED,ROCHA,1923,C,Hilo,Hawaii
FRED,SCHAUS,1925,SF,Newark,Ohio
DOLPH,SCHAYES*,1928,PF,New York,New York
HOWIE,SCHULTZ,1922,PF,St. Paul,Minnesota
FRED,SCOLARI,1922,PG,San Francisco,California
GEORGE,SENESKY,1922,PG,Mahanoy City,Pennsylvania
PAUL,SEYMOUR,1928,SG,Toledo,Ohio
BILL,SHARMAN*,1926,SG,Abilene,Texas
CONNIE,SIMMONS,1925,C,Newark,New Jersey
WHITEY,SKOOG,1926,SG,Duluth,Minnesota
BELUS,SMAWLEY,1918,SG,Golden Valley,North Carolina
ERNIE,VANDEWEGHE,1928,SF,Montreal,Canada
BRADY,WALKER,1921,PF,Provo,Utah
PAUL,WALTHER,1927,SG,Covington,Kentucky
BOBBY,WANZER*,1921,SG,Brooklyn,New York
MAX,ZASLOFSKY,1925,SG,Brooklyn,New York
JIM,BAECHTOLD,1927,SF,McKeesport,Pennsylvania
DON,BARKSDALE*,1923,PF,Oakland,California
NELSON,BOBB,1924,PG,Philadelphia,Pennsylvania
VINCE,BORYLA,1927,SF,East Chicago,Indiana
DON,BOVEN,1925,SF,Kalamazoo,Michigan
DON,BOVEN,1925,F-G,Kalamazoo,Michigan
DON,BOVEN,1925,F-G,Kalamazoo,Michigan
DON,BOVEN,1925,SF,Kalamazoo,Michigan
JIM,BRASCO,1931,G,Brooklyn,New York
JIM,BRASCO,1931,G,Brooklyn,New York
JIM,BRASCO,1931,G,Brooklyn,New York
CARL,BRAUN,1927,SG,Brooklyn,New York
FRANKIE,BRIAN,1923,SG,Zachary,Louisiana
DICK,BUNT,1930,PG,Queens,New York
DICK,BUNT,1930,PG,Queens,New York
DICK,BUNT,1930,PG,Queens,New York
BILL,CALHOUN,1927,SF,San Francisco,California
BILL,CALHOUN,1927,F-G,San Francisco,California
BILL,CALHOUN,1927,SF,San Francisco,California
AL,CERVI*,1917,PG,Buffalo,New York
NAT,CLIFTON*,1922,PF,Little Rock,Arkansas
JACK,COLEMAN,1924,PF,Burgin,Kentucky
GENE,CONLEY,1930,PF,Muskogee,Oklahoma
