_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
931,Charlie Yelverton,188,86,Fordham University,1948,Unknown,Unknown,Charlie,Yelverton
932,Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina,Henry,Bibby
933,Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California,Freddie,Boyd
934,Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York,Steve,Bracey
935,John Brisker,196,95,University of Toledo,1947,Detroit,Michigan,John,Brisker
936,Roger Brown,196,92,University of Dayton,1942,Brooklyn,New York,Roger,Brown
937,Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois,Corky,Calhoun
938,Bob Davis,201,97,Weber State University,1950,Unknown,Unknown,Bob,Davis
939,Dwight Davis,203,99,University of Houston,1949,Houston,Texas,Dwight,Davis
940,Mickey Davis,190,83,Virginia Union University,1946,Brooklyn,New York,Mickey,Davis
941,Charles Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania,Charles,Dudley
942,Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois,Scott,English
943,Chris Ford,196,86,Villanova University,1949,Atlantic City,New Jersey,Chris,Ford
944,Harold Fox,188,79,Jacksonville University,1949,Unknown,Unknown,Harold,Fox
945,Rowland Garrett,198,95,Florida State University,1950,Canton,Mississippi,Rowland,Garrett
946,John Gianelli,208,99,University of the Pacific,1950,Stockton,California,John,Gianelli
947,Travis Grant,201,97,Kentucky State University,1950,Clayton,Alabama,Travis,Grant
948,Luther Green,201,86,Long Island University,1946,New York,New York,Luther,Green
949,Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas,Charles,Johnson
950,Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania,Ollie,Johnson
951,Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio,Manny,Leaks
952,Russ Lee,196,83,Marshall University,1950,Boston,Massachusetts,Russ,Lee
953,LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois,LaRue,Martin
954,Bob McAdoo*,206,95,University of North Carolina,1951,Greensboro,North Carolina,Bob,McAdoo*
955,Paul McCracken,193,81,"California State University, Northridge",1950,New York,New York,Paul,McCracken
956,Eric McWilliams,203,90,"California State University, Long Beach",1950,Denver,Colorado,Eric,McWilliams
957,Mark Minor,198,97,Ohio State University,1950,Unknown,Unknown,Mark,Minor
958,Bob Nash,203,88,University of Hawaii,1950,Hartford,Connecticut,Bob,Nash
959,Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia,Lloyd,Neal
960,Tom Patterson,198,99,Ouachita Baptist University,1948,Unknown,Unknown,Tom,Patterson
961,Kevin Porter,183,77,Saint Francis University,1950,Chicago,Illinois,Kevin,Porter
962,Jim Price,190,88,University of Louisville,1949,Russellville,Kentucky,Jim,Price
963,Mike Ratliff,208,104,University of Wisconsin-Eau Claire,1951,New Albany,Mississippi,Mike,Ratliff
964,Tom Riker,208,102,University of South Carolina,1950,Rockville Centre,New York,Tom,Riker
965,Ron Riley,203,88,University of Southern California,1950,Los Angeles,California,Ron,Riley
966,Frank Russell,190,81,University of Detroit Mercy,1949,Unknown,Unknown,Frank,Russell
967,Frank Schade,185,77,University of Wisconsin-Eau Claire,1950,Wausau,Wisconsin,Frank,Schade
968,Sam Sibert,201,97,Kentucky State University,1949,Unknown,Unknown,Sam,Sibert
969,Bud Stallworth,196,86,University of Kansas,1950,Hartselle,Alabama,Bud,Stallworth
970,Paul Stovall,193,97,Arizona State University,1948,Unknown,Unknown,Paul,Stovall
971,Chuck Terry,198,97,"California State University, Long Beach",1950,Long Beach,California,Chuck,Terry
972,Justus Thigpen,185,72,Weber State University,1947,Unknown,Unknown,Justus,Thigpen
973,John Tschogl,198,93,"University of California, Santa Barbara",1950,Chula Vista,California,John,Tschogl
