Player,total_points
Tim Duncan,3938.0
Evan Fournier,3918.0
Ish Smith,3885.0
Tristan Thompson,3884.0
Marreese Speights,3838.0
Bojan Bogdanovic,3813.0
Aaron Brooks,3809.0
Paul Pierce,3806.0
Jose Calderon,3785.0
C.J. Miles,3742.0
P.J. Tucker,3711.0
Randy Foye,3690.0
Jordan Crawford,3675.0
Jameer Nelson,3674.0
Mason Plumlee,3670.0
Kentavious Caldwell-Pope,3665.0
Lance Stephenson,3658.0
Marco Belinelli,3657.0
Wilson Chandler,3608.0
Rodney Stuckey,3582.0
Mo Williams,3579.0
Draymond Green,3566.0
Karl-Anthony Towns,3564.0
Roy Hibbert,3533.0
Nick Young,3518.0
Greivis Vasquez,3511.0
Marvin Williams,3506.0
Rajon Rondo,3485.0
Gerald Green,3478.0
Danny Green,3471.0
Mario Chalmers,3451.0
Austin Rivers,3449.0
Vince Carter,3420.0
Amir Johnson,3403.0
Nene Hilario,3391.0
Manu Ginobili,3353.0
Timofey Mozgov,3324.0
Derrick Rose,3297.0
Luis Scola,3285.0
J.J. Barea,3263.0
Andre Iguodala,3261.0
Wayne Ellington,3257.0
Will Barton,3253.0
Tayshaun Prince,3247.0
Dennis Schroder,3244.0
Brandon Bass,3243.0
Gary Neal,3221.0
Ricky Rubio,3217.0
Jerryd Bayless,3197.0
Carlos Boozer,3159.0
Jarrett Jack,3157.0
Jordan Clarkson,3133.0
Tim Hardaway,3097.0
Mike Dunleavy,3081.0
Terrence Jones,3013.0
DeMarre Carroll,3010.0
Kent Bazemore,2992.0
O.J. Mayo,2990.0
Raymond Felton,2987.0
Channing Frye,2985.0
Ed Davis,2985.0
Jared Dudley,2962.0
Patty Mills,2920.0
Tony Allen,2917.0
Hassan Whiteside,2913.0
Al-Farouq Aminu,2910.0
Jared Sullinger,2893.0
Amar'e Stoudemire,2845.0
Jodie Meeks,2839.0
Trey Burke,2832.0
Zach LaVine,2817.0
Tyson Chandler,2809.0
Shaun Livingston,2801.0
J.J. Hickson,2796.0
Kyle Singler,2783.0
Devin Booker,2774.0
Ben McLemore,2742.0
Beno Udrih,2718.0
Patrick Beverley,2708.0
Boris Diaw,2683.0
Robert Covington,2681.0
Anthony Morrow,2676.0
Iman Shumpert,2670.0
Maurice Harkless,2646.0
Gorgui Dieng,2639.0
Norris Cole,2638.0
Joakim Noah,2632.0
Kelly Olynyk,2628.0
Alec Burks,2609.0
Wesley Johnson,2602.0
Michael Kidd-Gilchrist,2582.0
Kosta Koufos,2580.0
Mirza Teletovic,2565.0
Elfrid Payton,2555.0
Caron Butler,2510.0
Trevor Booker,2486.0
Rudy Gobert,2484.0
Devin Harris,2481.0
James Johnson,2476.0
Otto Porter,2469.0
Dante Cunningham,2464.0
Shelvin Mack,2455.0
Anthony Tolliver,2454.0
Omri Casspi,2441.0
Brandan Wright,2426.0
Cory Joseph,2421.0
John Henson,2418.0
Kris Humphries,2406.0
Jabari Parker,2403.0
Zaza Pachulia,2396.0
Nikola Pekovic,2395.0
Jordan Hill,2388.0
Tyler Zeller,2384.0
Nerlens Noel,2381.0
E'Twaun Moore,2379.0
Nikola Mirotic,2354.0
Andre Miller,2350.0
Jason Smith,2343.0
Steven Adams,2343.0
Rodney Hood,2330.0
Langston Galloway,2328.0
Richard Jefferson,2297.0
Shabazz Muhammad,2290.0
Brian Roberts,2264.0
Jason Thompson,2262.0
Hollis Thompson,2255.0
Cody Zeller,2239.0
Jason Terry,2228.0
Kristaps Porzingis,2224.0
Jeremy Lamb,2214.0
Luc Mbah,2210.0
Thabo Sefolosha,2198.0
Michael Beasley,2190.0
Jonas Jerebko,2182.0
Toney Douglas,2171.0
Thomas Robinson,2169.0
Kevin Garnett,2124.0
Glen Davis,2088.0
Doug McDermott,2057.0
D'Angelo Russell,2038.0
Jerami Grant,2034.0
Jon Leuer,2034.0
Omer Asik,2023.0
Nikola Jokic,2017.0
